[9.385s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.2ms
[9.385s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 64.5ms
[9.385s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.7ms
[9.385s][info][gc,phases   ] GC(15)   Other: 0.3ms
[9.385s][info][gc,heap     ] GC(15) Eden regions: 1170->0(1090)
[9.385s][info][gc,heap     ] GC(15) Survivor regions: 58->138(154)
[9.385s][info][gc,heap     ] GC(15) Old regions: 280->280
[9.385s][info][gc,heap     ] GC(15) Archive regions: 0->0
[9.385s][info][gc,heap     ] GC(15) Humongous regions: 4->4
[9.385s][info][gc,metaspace] GC(15) Metaspace: 8769K(8960K)->8769K(8960K) NonClass: 7948K(8064K)->7948K(8064K) Class: 821K(896K)->821K(896K)
[9.385s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1512M->421M(2048M) 65.890ms
[9.385s][info][gc,cpu      ] GC(15) User=0.47s Sys=0.00s Real=0.08s
[10.313s][info][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[10.313s][info][gc,task     ] GC(16) Using 6 workers of 6 for evacuation
[10.382s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.2ms
[10.383s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.2ms
[10.383s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 68.3ms
[10.383s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 0.6ms
[10.383s][info][gc,phases   ] GC(16)   Other: 0.4ms
[10.383s][info][gc,heap     ] GC(16) Eden regions: 1090->0(1167)
[10.383s][info][gc,heap     ] GC(16) Survivor regions: 138->56(154)
[10.383s][info][gc,heap     ] GC(16) Old regions: 280->406
[10.383s][info][gc,heap     ] GC(16) Archive regions: 0->0
[10.383s][info][gc,heap     ] GC(16) Humongous regions: 13->13
[10.383s][info][gc,metaspace] GC(16) Metaspace: 8795K(9024K)->8795K(9024K) NonClass: 7973K(8128K)->7973K(8128K) Class: 821K(896K)->821K(896K)
[10.383s][info][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1520M->474M(2048M) 69.788ms
[10.383s][info][gc,cpu      ] GC(16) User=0.36s Sys=0.02s Real=0.07s
[11.557s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[11.557s][info][gc,task     ] GC(17) Using 6 workers of 6 for evacuation
[11.629s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.2ms
[11.629s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.2ms
[11.629s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 70.9ms
[11.629s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 0.7ms
[11.629s][info][gc,phases   ] GC(17)   Other: 0.3ms
[11.629s][info][gc,heap     ] GC(17) Eden regions: 1167->0(1082)
[11.629s][info][gc,heap     ] GC(17) Survivor regions: 56->130(153)
[11.629s][info][gc,heap     ] GC(17) Old regions: 406->406
[11.629s][info][gc,heap     ] GC(17) Archive regions: 0->0
[11.629s][info][gc,heap     ] GC(17) Humongous regions: 13->13
[11.629s][info][gc,metaspace] GC(17) Metaspace: 8798K(9024K)->8798K(9024K) NonClass: 7976K(8128K)->7976K(8128K) Class: 821K(896K)->821K(896K)
