[0.012s][info][gc,heap] Heap region size: 4M
[13.838s][info][gc,task      ] GC(15) Using 6 workers of 6 for full compaction
[13.838s][info][gc,start     ] GC(15) Pause Full (System.gc())
[13.839s][info][gc,phases,start] GC(15) Phase 1: Mark live objects
[13.938s][info][gc,stringtable ] GC(15) Cleaned string and symbol table, strings: 6793 processed, 8 removed, symbols: 50986 processed, 10 removed
[13.938s][info][gc,phases      ] GC(15) Phase 1: Mark live objects 99.391ms
[13.938s][info][gc,phases,start] GC(15) Phase 2: Prepare for compaction
[13.995s][info][gc,phases      ] GC(15) Phase 2: Prepare for compaction 57.420ms
[13.995s][info][gc,phases,start] GC(15) Phase 3: Adjust pointers
[14.087s][info][gc,phases      ] GC(15) Phase 3: Adjust pointers 91.584ms
[14.087s][info][gc,phases,start] GC(15) Phase 4: Compact heap
[14.151s][info][gc,phases      ] GC(15) Phase 4: Compact heap 63.642ms
[14.153s][info][gc,heap        ] GC(15) Eden regions: 207->0(681)
[14.153s][info][gc,heap        ] GC(15) Survivor regions: 32->0(67)
[14.153s][info][gc,heap        ] GC(15) Old regions: 118->114
[14.153s][info][gc,heap        ] GC(15) Humongous regions: 2->1
[14.153s][info][gc,metaspace   ] GC(15) Metaspace: 16676K(17280K)->16676K(17280K) NonClass: 15176K(15616K)->15176K(15616K) Class: 1500K(1664K)->1500K(1664K)
[14.153s][info][gc             ] GC(15) Pause Full (System.gc()) 1435M->445M(8192M) 315.007ms
[14.154s][info][gc,cpu         ] GC(15) User=1.83s Sys=0.00s Real=0.31s
[16.380s][info][gc,start       ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[16.380s][info][gc,task        ] GC(16) Using 6 workers of 6 for evacuation
[16.411s][info][gc,phases      ] GC(16)   Pre Evacuate Collection Set: 0.0ms
[16.411s][info][gc,phases      ] GC(16)   Evacuate Collection Set: 29.5ms
[16.411s][info][gc,phases      ] GC(16)   Post Evacuate Collection Set: 0.8ms
[16.411s][info][gc,phases      ] GC(16)   Other: 0.2ms
[16.411s][info][gc,heap        ] GC(16) Eden regions: 681->0(745)
[16.411s][info][gc,heap        ] GC(16) Survivor regions: 0->10(86)
